time,title,id,span
9:45,開会,,10:00
10:00,,49,10:15
10:15,,58,10:30
10:30,,19,10:45
10:45,小休憩,,11:00
11:00,,42,11:15
11:15,,61,11:30
11:30,昼休憩,,13:15
13:15,,63,13:30
13:30,,17,13:45
13:45,,34,14:00
14:00,小休憩,,14:15
14:15,倉貫,,14:30
14:30,,69,14:45
14:45,,70,15:00
15:00,小休憩,,15:30
15:30,,27,15:45
15:45,,68,16:00
16:00,,52,16:15
16:15,小休憩,,16:30
16:30,,38,16:45
16:45,,48,17:00
17:00,,16,17:15
17:15,小休憩,,17:30
17:30,,2,17:45
17:45,,35,18:00
18:00,,4,18:15
18:15,夕休み,,19:45
19:45,黒Ruby会議,,21:00
