time,title,id,span
9:45,アナウンス,,10:00
10:00,Matz,,10:15
10:15,,37,10:30
10:30,,40,10:45
10:45,小休憩,,11:00
11:00,,12,11:15
11:15,,56,11:30
11:30,昼休み,,13:15
13:15,eto,,13:30
13:30,,9,13:45
13:45,,51,14:00
14:00,小休憩,,14:15
14:15,,72,14:30
14:30,,32,14:45
14:45,コミュニティアピール,,15:15
15:15,小休憩,,15:30
15:30,,3,15:45
15:45,,47,16:00
16:00,,57,16:15
16:15,小休憩,,16:30
16:30,,7,16:45
16:45,,73,17:00
17:00,,60,17:15
17:15,事務連絡,,17:30
17:30,夕休み,,19:00
19:00,地元Ruby会議,,20:30
20:30,閉会の挨拶,,20:45
